GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bible2meps,br.nom.soares.eduardo.bible2meps.infra.proxy,ProxyScrape,9,141,2,6,2,29,2,8,0,6
bible2meps,br.nom.soares.eduardo.bible2meps.infra.parser.youversion,YouVersionFormatChapter,17,1137,15,133,1,269,16,98,1,39
bible2meps,br.nom.soares.eduardo.bible2meps.infra.parser.youversion,YouVersionFormatBook,7,275,3,13,1,62,3,14,0,9
bible2meps,br.nom.soares.eduardo.bible2meps.infra.parser.youversion,YouVersionSiteParser,5,200,1,7,0,42,1,9,0,6
bible2meps,br.nom.soares.eduardo.bible2meps.infra.parser,SiteConnection,40,39,7,5,7,10,5,4,0,3
bible2meps,br.nom.soares.eduardo.bible2meps,Bible2mepsApplication,5,3,0,0,2,1,1,1,1,1
bible2meps,br.nom.soares.eduardo.bible2meps.domain,Superscription,3,184,0,2,1,4,1,3,1,2
bible2meps,br.nom.soares.eduardo.bible2meps.domain,Translation,0,24,0,0,0,2,0,3,0,3
bible2meps,br.nom.soares.eduardo.bible2meps.domain,Book,0,9,0,0,0,1,0,1,0,1
bible2meps,br.nom.soares.eduardo.bible2meps.domain,Proxy,0,9,0,0,0,1,0,1,0,1
bible2meps,br.nom.soares.eduardo.bible2meps.domain,Language,0,21,0,0,0,3,0,3,0,3
bible2meps,br.nom.soares.eduardo.bible2meps.infra.file,JavaZipFileImpl,5,76,0,4,3,20,0,5,0,3
bible2meps,br.nom.soares.eduardo.bible2meps.domain.enums,YouVersionBookName,9,502,1,3,2,59,2,5,1,4
bible2meps,br.nom.soares.eduardo.bible2meps.domain.enums,BookName,0,6516,0,0,0,74,0,8,0,8
bible2meps,br.nom.soares.eduardo.bible2meps.application.format,FormatBible,29,96,1,5,5,14,3,5,2,3
bible2meps,br.nom.soares.eduardo.bible2meps.application.format,FormatBible.BibleParams,0,15,0,0,0,1,0,1,0,1
